arch,mask_variant,split,n_total,n_malignant,n_benign,prevalence,threshold_probability_pt,tp,fp,tn,fn,net_benefit_model,net_benefit_treat_all_correct,net_benefit_treat_all_WRONG_flat_at_prevalence,net_benefit_treat_none,delta_nb_model_minus_treat_all,standardised_net_benefit_model
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.24,148,32,70,7,0.536555396272783,0.4777800532459553,0.603112840466926,0.0,0.05877534302682774,0.8896434634974532
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.25,148,31,71,7,0.5356679636835279,0.4708171206225681,0.603112840466926,0.0,0.06485084306095978,0.8881720430107527
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.26,148,30,72,7,0.5348617099589862,0.4636660006309811,0.603112840466926,0.0,0.07119570932800506,0.8868352223190933
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.27,148,30,72,7,0.5327008155215607,0.45631895954373425,0.603112840466926,0.0,0.07638185597782643,0.8832523199292974
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.28,148,28,74,7,0.5335062689148292,0.4487678339818417,0.603112840466926,0.0,0.0847384349329875,0.8845878136200718
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.29,148,26,76,7,0.5345536252534663,0.44100400065764234,0.603112840466926,0.0,0.09354962459582394,0.8863243980009087
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.3,148,25,77,7,0.5341856586992774,0.43301834352418,0.603112840466926,0.0,0.10116731517509736,0.8857142857142858
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.31,147,24,78,8,0.5300287599390966,0.42480121806800875,0.603112840466926,0.0,0.10522754187108785,0.8788218793828892
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.32,147,22,80,8,0.5317006179903868,0.41634241245136183,0.603112840466926,0.0,0.11535820553902498,0.8815939278937381
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.33,147,22,80,8,0.5298217085777338,0.40763110517451645,0.603112840466926,0.0,0.12219060340321736,0.8784785748675974
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.34,146,20,82,9,0.5280037731399598,0.3986558188892818,0.603112840466926,0.0,0.12934795425067802,0.8754643206256109
